                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0263,                 8.3472,                0.68656,                 2.8076,                 2.6197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3294,                 11.031,                0.74522,                 6.6275,                 3.6188,                      0,                      0,                      0
                      2,                 2.6309,                 8.3062,                0.74882,                 3.2041,                 2.8116,                0.00167,                0.14286,                0.00099,                0.00014,                      0,                      0,                      0,                      0,                 4.3882,                 10.955,                0.75489,                 5.7301,                 3.7917,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.6748,                 9.1006,                0.88213,                 2.5497,                 2.6453,                0.20982,                0.14286,                0.06445,                0.01047,                      0,                      0,                      0,                      0,                 4.0875,                 11.011,                0.80787,                 5.8051,                 3.3915,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.1808,                 8.7844,                0.62895,                 2.2893,                 2.5082,                 0.6563,                0.14286,                0.15368,                0.03809,                      0,                      0,                      0,                      0,                  3.821,                 10.947,                0.79191,                 5.3897,                 3.1585,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.1567,                 8.3023,                 0.7285,                 2.6123,                 2.6004,                0.62906,                0.14286,                0.15306,                0.03823,                      0,                      0,                      0,                      0,                 3.7149,                 10.918,                0.78645,                 5.2343,                 3.1054,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.8022,                 9.4675,                0.82644,                 2.5977,                 2.8713,                0.57248,                0.14286,                0.13225,                0.02147,                      0,                      0,                      0,                      0,                 3.5484,                 10.915,                0.82329,                 5.5114,                 2.9151,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.7267,                 7.6872,                0.64023,                 2.1168,                 2.5257,                0.37846,                0.21429,                0.18117,                0.03846,                      0,                      0,                      0,                      0,                 3.4221,                 10.912,                0.80189,                 4.6963,                 2.8571,             0.00011287,             0.00011287,             0.00011287
                      8,                  2.423,                 8.3764,                0.67483,                 2.2858,                 2.6511,                0.36636,                0.21429,                0.18178,                0.02823,                      0,                      0,                      0,                      0,                 3.2628,                 10.924,                0.79184,                 4.4083,                 2.8178,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.5418,                 8.5562,                0.58361,                 1.6847,                 2.3409,                0.27705,                0.28571,                 0.1686,                0.03129,                      0,                      0,                      0,                      0,                 3.1077,                 10.962,                 0.7755,                 3.7176,                 2.7205,             0.00014733,             0.00014733,             0.00014733
                     10,                 2.2834,                   6.65,                0.62465,                 1.9484,                 2.3521,                0.38826,                0.35714,                0.33788,                0.07607,                      0,                      0,                      0,                      0,                 3.0219,                 10.946,                0.75938,                 3.2382,                 2.6067,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.0479,                 8.5692,                0.60598,                 1.9148,                 2.3979,                0.38659,                0.31663,                0.29152,                0.08375,                      0,                      0,                      0,                      0,                 2.8977,                 11.013,                0.76458,                  2.891,                  2.484,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.2623,                 7.4204,                0.48718,                 1.6258,                 2.1215,                0.44229,                0.35714,                0.27508,                0.08387,                      0,                      0,                      0,                      0,                 2.7858,                 11.073,                0.76841,                 2.6703,                  2.394,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.6538,                 7.0836,                0.46914,                  1.317,                 1.8282,                0.32749,                0.35714,                0.27866,                 0.0962,                      0,                      0,                      0,                      0,                 2.6776,                 11.034,                0.75189,                 2.5518,                 2.3552,             0.00021149,             0.00021149,             0.00021149
                     14,                 2.0635,                 5.7996,                0.70073,                  1.529,                 2.2065,                0.36428,                0.42857,                0.25991,                0.09173,                      0,                      0,                      0,                      0,                 2.6587,                 10.903,                0.76184,                 2.4068,                 2.3361,             0.00022654,             0.00022654,             0.00022654
                     15,                 2.0166,                 6.8102,                0.50698,                 1.2518,                 1.7603,                0.15465,                0.42857,                0.22205,                0.08772,                      0,                      0,                      0,                      0,                 2.6254,                 10.625,                 0.7425,                 2.4796,                 2.3554,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.5839,                 6.8109,                0.51536,                 1.2021,                 1.6725,                0.18227,                    0.5,                0.20557,                0.08768,                      0,                      0,                      0,                      0,                 2.6438,                 10.553,                0.73526,                 2.4992,                 2.3919,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.6993,                  5.977,                0.50082,                  1.252,                 1.7412,                0.21168,                0.35714,                0.27151,                0.11727,                      0,                      0,                      0,                      0,                 2.6205,                 10.462,                0.73535,                 2.4997,                 2.3777,             0.00026931,             0.00026931,             0.00026931
                     18,                  1.672,                  6.587,                 0.5318,                  1.173,                 1.7019,                0.21168,                0.35714,                0.27151,                0.11727,                      0,                      0,                      0,                      0,                 2.6205,                 10.462,                0.73535,                 2.4997,                 2.3777,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.1433,                  5.162,                0.38061,                 0.9111,                 1.5174,                0.30581,                0.42857,                 0.3047,                0.13182,                      0,                      0,                      0,                      0,                 2.5163,                 10.277,                 0.7607,                 2.4423,                 2.3115,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.1769,                   6.09,                0.47772,                 1.0454,                 1.4065,                0.30581,                0.42857,                 0.3047,                0.13182,                      0,                      0,                      0,                      0,                 2.5163,                 10.277,                 0.7607,                 2.4423,                 2.3115,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.9612,                 5.9483,                0.61342,                  1.498,                 2.1709,                0.38977,                0.42857,                0.32936,                0.14709,                      0,                      0,                      0,                      0,                 2.3908,                 10.047,                 0.7598,                 2.2689,                 2.2442,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.4951,                 5.8299,                0.49135,                0.97214,                 1.4705,                0.38977,                0.42857,                0.32936,                0.14709,                      0,                      0,                      0,                      0,                 2.3908,                 10.047,                 0.7598,                 2.2689,                 2.2442,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.4385,                  4.991,                 0.5557,                0.90602,                 1.6169,                0.41095,                  0.549,                0.41025,                0.19142,                      0,                      0,                      0,                      0,                 2.2552,                 9.4905,                0.74391,                 2.2529,                 2.1827,             0.00034417,             0.00034417,             0.00034417
                     24,                0.97706,                 3.9351,                 0.4979,                 1.1411,                 1.4753,                0.41095,                  0.549,                0.41025,                0.19142,                      0,                      0,                      0,                      0,                 2.2552,                 9.4905,                0.74391,                 2.2529,                 2.1827,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.5578,                 6.1292,                0.49504,                 1.0938,                 1.5071,                0.79724,                0.42857,                0.48733,                0.21026,                0.87332,                0.07143,                 0.0764,                0.00764,                  2.178,                  9.214,                0.75258,                 2.3411,                 2.1691,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.1612,                 4.2935,                0.55447,                0.77849,                  1.422,                0.79724,                0.42857,                0.48733,                0.21026,                0.87332,                0.07143,                 0.0764,                0.00764,                  2.178,                  9.214,                0.75258,                 2.3411,                 2.1691,             0.00037625,             0.00037625,             0.00037625
